## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.onSale
6548464,"Acer - Predator Helios 18-18"" 250Hz Gaming Laptop HDR– Intel i9-13900HX with 32GB Memory–GeForce RTX 4080–1TB SSD",Cameras,"Shop Acer Predator Helios 18-18"" 250Hz Gaming Laptop HDR– Intel i9-13900HX with 32GB Memory–GeForce RTX 4080–1TB SSD at Best Buy. Find low everyday prices and buy online for delivery or in-store pick-up. Price Match Guarantee.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6548/6548464_sd.jpg,0.0,,312,23.98,0
6504036,LEGO - City Express Passenger Train 60337,Cameras,Shop LEGO City Express Passenger Train 60337 at Best Buy. Find low everyday prices and buy online for delivery or in-store pick-up. Price Match Guarantee.,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6504/6504036_sd.jpg,0.0,,484,28.73,1
6549067,"Lenovo - Ideapad 3i 15.6"" FHD Touch Laptop - Core i5-1155G7 with 8GB Memory - 512GB SSD - Abyss Blue",Computers,"Shop Lenovo Ideapad 3i 15.6"" FHD Touch Laptop Core i5-1155G7 with 8GB Memory 512GB SSD Abyss Blue at Best Buy. Find low everyday prices and buy online for delivery or in-store pick-up. Price Match Guarantee.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6549/6549067_sd.jpg,0.0,,27,20.62,0
6508240,"Lenovo - IdeaPad Duet 3 Chromebook - 11"" 2k Touchscreen 2-in-1 Tablet - Snapdragon 7cG2 - 4G RAM - 128G eMMC - with Keyboard - Misty Blue",Electronics,"Shop Lenovo IdeaPad Duet 3 Chromebook 11"" 2k Touchscreen 2-in-1 Tablet Snapdragon 7cG2 4G RAM 128G eMMC with Keyboard Misty Blue at Best Buy. Find low everyday prices and buy online for delivery or in-store pick-up. Price Match Guarantee.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6508/6508240_sd.jpg,0.0,,73,29.91,0
6455193,Microsoft - Surface Laptop 4 - 15” Touch-Screen - AMD Ryzen 7 Surface Edition with 8GB Memory - 256GB SSD - Platinum,Audio,Shop Microsoft Surface Laptop 4 15” Touch-Screen AMD Ryzen 7 Surface Edition with 8GB Memory 256GB SSD Platinum at Best Buy. Find low everyday prices and buy online for delivery or in-store pick-up. Price Match Guarantee.,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6455/6455193cv11d.jpg,0.0,,485,26.45,0
6529407,LEGO - Icons Wildflower Bouquet 10313,Accessories,Shop LEGO Icons Wildflower Bouquet 10313 at Best Buy. Find low everyday prices and buy online for delivery or in-store pick-up. Price Match Guarantee.,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6529/6529407_sd.jpg,0.0,,483,21.91,0
6490966,"HP - EliteBook 14"" Refurbished Laptop - Intel Core i5 - 32GB Memory - 1TB Solid State Drive - Gray",Phones,"Shop HP EliteBook 14"" Refurbished Laptop Intel Core i5 32GB Memory 1TB Solid State Drive Gray at Best Buy. Find low everyday prices and buy online for delivery or in-store pick-up. Price Match Guarantee.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6490/6490966_rd.jpg,0.0,,64,23.23,0
6914842,5-Year Standard Geek Squad Protection,Phones,Shop 5-Year Standard Geek Squad Protection at Best Buy. Find low everyday prices and buy online for delivery or in-store pick-up. Price Match Guarantee.,https://pisces.bbystatic.com/image2/BestBuy_US/exc/videometadata/thumbnail/aecbebf896f06f94e711ccfd6bf4c8e1.jpg,0.0,,154,27.21,0
6408299,Samsung - T7 1TB External USB 3.2 Gen 2 Portable SSD with Hardware Encryption - Titan Gray,Cameras,Shop Samsung T7 1TB External USB 3.2 Gen 2 Portable SSD with Hardware Encryption Titan Gray at Best Buy. Find low everyday prices and buy online for delivery or in-store pick-up. Price Match Guarantee.,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6408/6408299_sd.jpg,0.0,,94,17.88,1
6450301,"Samsung - The Terrace Outdoor Slim TV Mount up to 75"" - Black",Cameras,"Shop Samsung The Terrace Outdoor Slim TV Mount up to 75"" Black at Best Buy. Find low everyday prices and buy online for delivery or in-store pick-up. Price Match Guarantee.",https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6450/6450301_sd.jpg,0.0,,18,25.22,1
